case, loop, trial, task-clock, context-switches, cpu-migrations, page-faults, cycles, instructions, branches, branch-misses, L1-dcache-loads,L1-dcache-load-misses, LLC-loads, LLC-load-misses, L1-icache-loads, L1-icache-load-misses, dTLB-load-misses, elapsed time, real, user, sys
out_case2,400,1,3196.565062,6,0,87,1913252608,1650331344,83686058 342275,342275,735236952,53321,317788,11159,831266048,104137,52,3.198647597,real 0m3.286s,user 0m3.205s,sys 0m0.034s
out_case2,400,10,3199.540167,12,0,87,1914537901,1650261806,83689273 345387,345387,734369848,52676,320343,16335,831401232,112136,112,3.202476760,real 0m3.307s,user 0m3.212s,sys 0m0.032s
out_case2,400,2,3205.476677,48,1,90,1918283493,1652230046,83894244 381874,381874,731846969,66657,408266,10029,831383007,159149,228,3.216880094,real 0m3.317s,user 0m3.216s,sys 0m0.034s
out_case2,400,3,3201.598860,16,0,89,1915595762,1649953044,83686133 344879,344879,733453019,54025,326540,14410,831594396,113723,118,3.205864630,real 0m3.293s,user 0m3.215s,sys 0m0.032s
out_case2,400,4,3220.606259,138,7,87,1926413067,1656074110,84309111 406551,406551,736064333,87602,580803,25870,836685690,298255,246,3.248949823,real 0m3.359s,user 0m3.204s,sys 0m0.062s
out_case2,400,5,3220.360423,49,1,87,1926689110,1656612012,84352570 397775,397775,746383998,80401,556597,20278,833258709,282381,281,3.244101375,real 0m3.354s,user 0m3.254s,sys 0m0.011s
out_case2,400,6,3171.260896,8,0,90,1870994947,1626358870,82145094 255218,255218,738781467,51662,328156,12653,826722518,96835,16,3.173620101,real 0m3.258s,user 0m3.184s,sys 0m0.031s
out_case2,400,7,3170.691154,35,0,90,1869868760,1626120355,82130854 262026,262026,738682931,53294,346827,12296,826691262,104415,83,3.175038927,real 0m3.271s,user 0m3.183s,sys 0m0.030s
out_case2,400,8,3199.873966,22,2,90,1914908555,1627237215,82738610 342565,342565,738587155,60176,393662,25204,831746813,134691,204,3.215521804,real 0m3.317s,user 0m3.208s,sys 0m0.036s
out_case2,400,9,3201.768864,10,0,87,1915907284,1650138092,82453178 343754,343754,735877874,55687,328532,23339,831430269,110460,109,3.205183152,real 0m3.298s,user 0m3.214s,sys 0m0.031s
out_case2,6400,1,803164.339703,1350,4,87,488427615333,421849768946,21315734217 74393174,74393174,189765523572,4581761,31530819,1760405,212263773434,23737621,376,803.241010388,real 13m23.327s,user 13m23.187s,sys 0m0.020s
out_case2,6400,10,799740.913383,8424,6,91,487014815411,421448503184,21259679358 68101892,68101892,189674029620,4586872,32853939,960859,211839564261,24567225,292,800.118157304,real 13m20.196s,user 13m19.684s,sys 0m0.130s
out_case2,6400,2,796546.971240,19002,1,87,484366479245,420526107806,21115491742 53260048,53260048,189312272951,3767797,31634317,1678610,211083118141,23992090,244,797.256820702,real 13m17.368s,user 13m16.143s,sys 0m0.545s
out_case2,6400,3,796571.239738,19484,1,89,484338545696,420488677143,21109390566 53045892,53045892,189322256161,3900382,31140728,1720039,211099732564,23637235,70,797.330958384,real 13m17.433s,user 13m16.230s,sys 0m0.485s
out_case2,6400,4,795840.379504,6124,5,87,484216749071,420315266784,21096569915 52993511,52993511,189259905356,2774595,27664809,1777779,211151013196,22129686,1190,796.248941231,real 13m16.328s,user 13m15.769s,sys 0m0.127s
out_case2,6400,5,798660.924007,12016,3,87,485408736606,420896336857,21170333817 59168583,59168583,189455811813,4291468,31778360,1910695,211422429267,23633573,414,799.158477961,real 13m19.277s,user 13m18.545s,sys 0m0.214s
out_case2,6400,6,796227.685947,19880,4,87,484405542200,420578104691,21113294365 53145700,53145700,189323099976,4189238,32162893,1673088,211067057190,23699207,94,796.994654301,real 13m17.115s,user 13m15.831s,sys 0m0.540s
out_case2,6400,7,800381.936729,1134,3,87,488402167177,421877997965,21319700494 74531603,74531603,189818140910,4552963,30969032,1886267,212194874661,23048854,112,800.431116631,real 13m20.508s,user 13m20.409s,sys 0m0.015s
out_case2,6400,8,798292.453481,2249,2,91,487411238557,421519011628,21268479543 69460392,69460392,189692150767,4161686,30583743,1786788,211944255618,23545220,174,798.423081972,real 13m18.509s,user 13m18.294s,sys 0m0.040s
out_case2,6400,9,795060.172532,7082,1,91,484210550958,420538359428,21108564259 52913824,52913824,189305669595,2708546,27498030,707132,211037640767,22068807,582,795.448244028,real 13m15.535s,user 13m15.000s,sys 0m0.128s
out_case2,800,1,12658.216811,339,0,87,7575571009,6573130894,329069800 890390,890390,2952806800,110062,745533,43635,3300720554,374052,108,12.673962884,real 0m12.787s,user 0m12.682s,sys 0m0.021s
out_case2,800,10,12623.551962,170,0,87,7619939709,6591638304,333678129 1245274,1245274,2969519811,129895,813053,37019,3315503208,422783,8,12.636468151,real 0m12.724s,user 0m12.642s,sys 0m0.024s
out_case2,800,2,12661.506604,327,0,90,7576971331,6573325532,328960431 889491,889491,2951477660,119968,862060,46033,3300741951,396567,102,12.678177146,real 0m12.774s,user 0m12.659s,sys 0m0.048s
out_case2,800,3,12658.933373,90,0,91,7638585804,6563311804,332250536 1226594,1226594,2959572570,111618,731762,40008,3323726304,405196,158,12.665166114,real 0m12.777s,user 0m12.670s,sys 0m0.034s
out_case2,800,4,12684.204314,164,1,90,7663316967,6617353159,334905714 1223143,1223143,2972710926,153294,1315545,58896,3320553186,861680,252,12.701186743,real 0m12.789s,user 0m12.727s,sys 0m0.001s
out_case2,800,5,12660.183111,32,0,87,7629614517,6563886983,332261457 1222493,1222493,2965151928,101850,714599,40187,3322054466,396016,94,12.663860015,real 0m12.759s,user 0m12.673s,sys 0m0.032s
out_case2,800,6,12557.504690,362,0,87,7586130265,6576428647,328825755 875061,875061,2950573176,93420,709909,41219,3304211763,439398,52,12.573528113,real 0m12.683s,user 0m12.562s,sys 0m0.041s
out_case2,800,7,12681.471966,138,3,87,7661580253,6611031283,334816702 1308536,1308536,2960525107,146736,965217,42031,3318658996,553655,234,12.701909167,real 0m12.795s,user 0m12.684s,sys 0m0.041s
out_case2,800,8,12575.497642,278,3,88,7597526539,6580892446,330576647 937517,937517,2951110123,117336,807656,41375,3309362056,459406,199,12.598997378,real 0m12.688s,user 0m12.560s,sys 0m0.060s
out_case2,800,9,12560.836185,281,7,89,7589097602,6558822424,329437046 915529,915529,2952433672,105191,761008,37067,3303105828,392439,295,12.592646317,real 0m12.673s,user 0m12.553s,sys 0m0.052s
out_case3,100,1,379.114062,13,0,92,218880513,215694016,35812115 67090,67090,77770702,40421,234012,7343,108433368,14954,0,0.381498824,real 0m0.508s,user 0m0.410s,sys 0m0.015s
out_case3,100,10,383.313544,1,0,91,219055139,214109411,35911220 78009,78009,77984625,40083,229491,8552,107708798,10248,4,0.385331032,real 0m0.459s,user 0m0.407s,sys 0m0.022s
out_case3,100,2,378.840366,3,0,92,218947848,215920151,35830291 66342,66342,77730499,38689,226206,7720,108438167,11103,0,0.381192787,real 0m0.476s,user 0m0.392s,sys 0m0.031s
out_case3,100,3,378.905367,12,0,88,217826669,215118999,35855540 68887,68887,77746340,39915,225926,9014,107976668,11591,4,0.383060061,real 0m0.471s,user 0m0.382s,sys 0m0.041s
out_case3,100,4,386.776097,17,1,91,221668186,216173593,36020596 93210,93210,78423110,47230,277312,13312,108832822,31608,35,0.394486561,real 0m0.482s,user 0m0.420s,sys 0m0.011s
out_case3,100,5,389.708644,14,0,92,217209489,210301899,35592588 96977,96977,79076267,51114,290525,10365,127420130,52403,31,0.394513385,real 0m0.468s,user 0m0.392s,sys 0m0.040s
out_case3,100,6,378.486199,0,0,88,219354240,216469586,35805725 65443,65443,77660760,37928,217881,6039,108711817,9118,0,0.380307486,real 0m0.458s,user 0m0.412s,sys 0m0.011s
out_case3,100,7,390.514273,42,2,88,224585390,217324167,36188984 107077,107077,78770783,53969,326818,22217,107773302,33897,27,0.443554769,real 0m0.527s,user 0m0.393s,sys 0m0.041s
out_case3,100,8,378.950521,5,0,91,224902051,217144556,35814737 67526,67526,77695710,40321,236451,2817,111781600,13054,8,0.381682526,real 0m0.481s,user 0m0.403s,sys 0m0.019s
out_case3,100,9,379.399170,14,1,88,215968993,212972390,35862942 66523,66523,77843120,39393,227177,9490,106614601,20537,10,0.386553884,real 0m0.472s,user 0m0.402s,sys 0m0.021s
out_case3,1600,1,93964.588735,450,5,89,56922474582,55225685120,9197273322 6103255,6103255,19767192238,605037,4094556,94004,31599334071,2985485,200,94.031723133,real 1m34.147s,user 1m33.980s,sys 0m0.029s
out_case3,1600,10,93098.762620,483,3,89,56548354351,55162200583,9192573783 3610459,3610459,19724843496,350917,3321035,135272,31416432832,2537484,28,93.131573839,real 1m33.219s,user 1m33.101s,sys 0m0.038s
out_case3,1600,2,93715.872319,264,5,89,56982531058,55277773845,9206075929 6298195,6298195,19762502374,590017,3971033,118303,31580166557,2848430,66,93.747850157,real 1m33.841s,user 1m33.708s,sys 0m0.051s
out_case3,1600,3,93183.672210,2221,2,90,56543587012,55145934867,9186607521 3733793,3733793,19720468431,455632,4252562,113244,31455638168,2753252,80,93.273614601,real 1m33.347s,user 1m33.197s,sys 0m0.041s
out_case3,1600,4,93071.877509,2455,1,89,56539282581,55140613775,9184497510 3663577,3663577,19703103078,490788,3968475,127708,31469002979,2924150,222,93.174509083,real 1m33.248s,user 1m33.066s,sys 0m0.060s
out_case3,1600,5,93339.971793,471,0,91,56577672857,55172568549,9189292637 3581589,3581589,19713111585,317590,3669388,132335,31433560304,2607875,48,93.367934743,real 1m33.473s,user 1m33.342s,sys 0m0.040s
out_case3,1600,6,93296.899552,2615,3,90,56509922956,55122830139,9185915522 3712429,3712429,19738464490,561522,4207991,132229,31447235237,3206254,218,93.416980395,real 1m33.495s,user 1m33.311s,sys 0m0.040s
out_case3,1600,7,93943.637216,397,1,89,56979927682,55262002626,9209115922 6334387,6334387,19783723703,574915,4026577,162726,31556405805,2950713,80,93.975735640,real 1m34.085s,user 1m33.957s,sys 0m0.032s
out_case3,1600,8,94017.455445,394,3,89,57088928967,55362075001,9216948722 6475240,6475240,19772210908,644861,4586137,218820,31588336017,3416968,404,94.076995513,real 1m34.168s,user 1m34.000s,sys 0m0.061s
out_case3,1600,9,94436.606743,643,3,92,57337519749,55447458178,9228019042 7740070,7740070,19861531928,1428505,9163857,350555,31670139191,6121282,290,94.502661403,real 1m34.583s,user 1m34.381s,sys 0m0.099s
out_case3,3200,1,372569.765272,8725,0,94,226178875801,220581506078,36743709776 14335552,14335552,78853399378,1954582,15160205,643377,125838443887,11112410,20,372.897063256,real 6m12.993s,user 6m12.427s,sys 0m0.230s
out_case3,3200,10,372116.164279,2021,3,92,226220579340,220665294387,36759263575 14251538,14251538,78852756709,1414800,13229184,908801,125741295880,10444147,152,372.262230842,real 6m12.337s,user 6m12.121s,sys 0m0.039s
out_case3,3200,2,375493.363959,804,2,90,228023626081,221222813183,36848803235 25065396,25065396,79094914245,2128631,15185803,498812,126280784604,11515345,70,375.579034220,real 6m15.656s,user 6m15.471s,sys 0m0.067s
out_case3,3200,3,372048.065668,8653,0,94,226250040858,220548421548,36723158913 14304863,14304863,78838750433,1882045,14937500,651530,125879285961,11289118,38,372.378693727,real 6m12.468s,user 6m11.858s,sys 0m0.277s
out_case3,3200,4,371870.490940,2113,5,90,226107901146,220565692645,36748584888 14227356,14227356,78857903546,1148548,12557150,868620,125780969834,10210005,310,372.013817459,real 6m12.095s,user 6m11.856s,sys 0m0.060s
out_case3,3200,5,375162.140054,775,0,90,227984660211,221115015135,36828644289 25050197,25050197,79099934896,2212726,15161247,1001591,126356835727,11522202,40,375.230091329,real 6m15.315s,user 6m15.169s,sys 0m0.038s
out_case3,3200,6,374589.649574,2478,6,92,227746236685,221148483737,36829463561 22957776,22957776,79035074731,2167580,15285165,1013950,126197592263,11448864,292,374.736121887,real 6m14.814s,user 6m14.541s,sys 0m0.101s
out_case3,3200,7,372217.698739,1938,1,92,226217391842,220594672255,36748003603 14718175,14718175,78852267071,1226941,12786519,883875,125827254926,10073223,264,372.342842355,real 6m12.422s,user 6m12.232s,sys 0m0.031s
out_case3,3200,8,380845.034676,1709,4,90,231727335540,223044709870,37046699340 39189276,39189276,80037106557,6773186,58280712,2655583,127261378668,44130905,284,380.944610793,real 6m21.017s,user 6m20.644s,sys 0m0.241s
out_case3,3200,9,380608.614363,1352,1,92,231620538129,222958648369,37043256786 39772151,39772151,80049315003,6428867,57603699,2682888,127323862976,44388799,126,380.673944623,real 6m20.776s,user 6m20.338s,sys 0m0.311s
out_case3,400,1,6054.235178,187,4,88,3621894275,3484050994,574464316 676263,676263,1246342018,152218,1132302,40880,1993084807,741314,273,6.098351838,real 0m6.173s,user 0m6.031s,sys 0m0.068s
out_case3,400,10,6051.836326,98,1,90,3621297103,3458691168,575313237 660024,660024,1248131965,175049,1142811,35730,1992270980,692396,264,6.060223233,real 0m6.167s,user 0m6.054s,sys 0m0.041s
out_case3,400,2,5960.087772,47,4,88,3566883982,3456657599,571079930 437557,437557,1230754461,76768,468221,23843,1975958622,203173,278,5.984846544,real 0m6.095s,user 0m5.968s,sys 0m0.035s
out_case3,400,3,5962.788040,52,1,88,3568326079,3457534560,575543606 434801,434801,1229951754,69174,432192,16932,1976037009,205859,186,5.979771830,real 0m6.057s,user 0m5.979s,sys 0m0.028s
out_case3,400,4,5919.925643,62,1,88,3522124838,3435600137,573000116 293402,293402,1233269096,64137,442982,21094,1969091329,198395,136,5.933551642,real 0m6.027s,user 0m5.922s,sys 0m0.041s
out_case3,400,5,5964.487413,13,0,88,3569960053,3458988871,575692523 444840,444840,1228452399,65769,431175,17228,1976392124,192790,86,5.967411798,real 0m6.049s,user 0m5.986s,sys 0m0.021s
out_case3,400,6,6062.777047,91,0,89,3627967152,3458260852,575095931 698237,698237,1247981314,166938,1221941,51276,1993891883,780729,52,6.068616800,real 0m6.190s,user 0m6.038s,sys 0m0.067s
out_case3,400,7,6060.868091,39,0,88,3626768301,3460063926,575424083 679329,679329,1248447361,171835,1229750,46585,1992813305,746494,113,6.065595190,real 0m6.142s,user 0m6.073s,sys 0m0.031s
out_case3,400,8,5927.884602,318,1,88,3518036629,3428454070,571589270 330937,330937,1232490163,91587,520740,21774,1971698087,234215,261,5.964168207,real 0m6.068s,user 0m5.943s,sys 0m0.031s
out_case3,400,9,5997.980445,173,4,92,3588220424,3467651921,576346813 522157,522157,1242975475,146781,921721,34275,1979063693,521500,444,6.050579243,real 0m6.130s,user 0m6.011s,sys 0m0.031s
out_case3,6400,1,1537394.801077,7873,4,94,934893801242,912530064653,146976090128 56615842,56615842,315331918626,4637086,50673689,3165771,518957845064,42300112,270,1537.844282435,real 25m37.923s,user 25m37.408s,sys 0m0.039s
out_case3,6400,10,1553930.308197,3011,7,94,942678789293,915198639673,147399441860 100443181,100443181,316365759533,8638649,61519430,3896380,521005505382,47484019,198,1554.076226399,real 25m54.170s,user 25m53.940s,sys 0m0.030s
out_case3,6400,2,1546244.911934,8921,4,90,939097356623,913904949180,147178686865 79425775,79425775,315943781576,7630226,64722901,4662948,520188498329,50934197,1136,1546.739415912,real 25m46.826s,user 25m46.091s,sys 0m0.207s
out_case3,6400,3,1570321.233592,6041,3,90,951595807173,919472118158,147897053645 138140234,138140234,318757805246,20957159,168399150,7349200,523649773194,131866528,890,1570.599617520,real 26m10.674s,user 26m9.801s,sys 0m0.560s
out_case3,6400,4,1556715.288531,10135,10,90,940765866944,914451025043,147282861880 89506007,89506007,316100830695,7953336,60684688,3921204,520535509143,46742206,852,1557.250966691,real 25m57.353s,user 25m56.627s,sys 0m0.154s
out_case3,6400,5,1559012.295049,2970,1,90,942881545794,915174078855,147400447064 101672877,101672877,316351987935,9238287,62345306,3745649,521111685459,47175274,242,1559.139548436,real 25m59.231s,user 25m59.013s,sys 0m0.041s
out_case3,6400,6,1556918.974888,2900,4,90,942963651870,915238761443,147386685730 101575356,101575356,316304915488,8204978,58185191,3815492,521149810600,45341538,78,1557.035727227,real 25m57.132s,user 25m56.939s,sys 0m0.022s
out_case3,6400,7,1557457.064444,2290,2,92,943044263475,915272774389,147402925937 101427913,101427913,316362697745,9966223,62744869,3828896,521020147627,45363192,348,1557.561705624,real 25m57.664s,user 25m57.467s,sys 0m0.031s
out_case3,6400,8,1541472.835423,8296,1,90,935023683644,912721759599,147017185477 57273166,57273166,315374563766,5361541,54216423,3445351,518916372154,43040937,474,1541.969214293,real 25m42.061s,user 25m41.457s,sys 0m0.068s
out_case3,6400,9,1555048.003617,2781,0,90,942925773374,915263013334,147414115010 101813047,101813047,316397682275,9392449,62181235,3861549,521000432194,45762663,146,1555.171699971,real 25m55.253s,user 25m55.066s,sys 0m0.020s
out_case3,800,1,23516.830177,46,0,90,14233242651,13803284761,2300744556 1616224,1616224,4948824763,181251,1145447,39361,7883740529,695994,6,23.521118836,real 0m23.625s,user 0m23.523s,sys 0m0.038s
out_case3,800,10,23628.327209,111,6,88,14286237328,13847332554,2304179935 1684070,1684070,4940826908,210858,1282886,37219,7892282750,761272,390,23.691050877,real 0m23.791s,user 0m23.651s,sys 0m0.020s
out_case3,800,2,23921.031321,148,0,88,14463798220,13918144200,2313601891 2548138,2548138,5002203531,480116,3986762,198519,7960643245,2892822,126,23.934131534,real 0m24.035s,user 0m23.903s,sys 0m0.060s
out_case3,800,3,23710.924867,190,2,89,14244450122,13795823286,2300082507 1591478,1591478,4942971240,168556,1192391,35402,7889106543,733764,110,23.736206666,real 0m23.814s,user 0m23.734s,sys 0m0.021s
out_case3,800,4,23492.540539,616,1,90,14138301086,13783350616,2294941870 974084,974084,4919681204,168895,1206191,30709,7875377592,714845,194,23.521964129,real 0m23.627s,user 0m23.500s,sys 0m0.036s
out_case3,800,5,23842.106232,282,3,90,14425631523,13907337939,2309887610 2443019,2443019,5003228749,488500,3800277,99244,7935132406,2649423,273,23.887289411,real 0m23.961s,user 0m23.845s,sys 0m0.040s
out_case3,800,6,23320.326376,175,0,88,14152935136,13763266471,2292487084 951478,951478,4921093702,123888,1072749,39391,7870538633,700094,194,23.343189916,real 0m23.460s,user 0m23.352s,sys 0m0.011s
out_case3,800,7,23425.907316,544,0,88,14106336199,13772163658,2298139610 947418,947418,4937382830,134887,1153730,34386,7853071965,747594,6,23.448917963,real 0m23.526s,user 0m23.404s,sys 0m0.067s
out_case3,800,8,23518.759389,117,0,88,14149308706,13797785378,2296815439 937169,937169,4925325296,104032,980229,33051,7851415673,650460,4,23.527513927,real 0m23.624s,user 0m23.546s,sys 0m0.017s
out_case3,800,9,23626.086586,238,0,88,14260945956,13832292113,2303438160 1664896,1664896,4939221500,190859,1279992,44879,7883242569,810669,18,23.653998005,real 0m23.753s,user 0m23.650s,sys 0m0.020s
